Time,txNext,highestSeq,unackSeq,rxNext,rxAvailable,rxTotal,cwnd,rWnd,ssThresh,state
+10004319.0ns,0,0,0,0,0,131072,1,0,65535,LISTEN
+90224635.0ns,,,,2236403387,,,,,
+90224635.0ns,,,,,536,,,,
+90224635.0ns,,,,,,516,,,
+90224635.0ns,,,,,516,,,,
+90224635.0ns,,,,,,496,,,
+90224635.0ns,,,,,496,,,,
+90224635.0ns,,,,,,476,,,
+90224635.0ns,,,,,476,,,,
+90224635.0ns,,,,,,456,,,
+90224635.0ns,,,,,456,,,,
+90224635.0ns,,,,,,436,,,
+90224635.0ns,,,,,436,,,,
+90224635.0ns,,,,,,416,,,
+90224635.0ns,,,,,416,,,,
+90224635.0ns,,,,,,396,,,
+90224635.0ns,,,,,396,,,,
+90224635.0ns,,,,,,376,,,
+90224635.0ns,,,,,376,,,,
+90224635.0ns,,,,,,356,,,
+90224635.0ns,,,,,356,,,,
+90224635.0ns,,,,,,336,,,
+90224635.0ns,,,,,336,,,,
+90224635.0ns,,,,,,316,,,
+90224635.0ns,,,,,316,,,,
+90224635.0ns,,,,,,296,,,
+90224635.0ns,,,,,296,,,,
+90224635.0ns,,,,,,276,,,
+90224635.0ns,,,,,276,,,,
+90224635.0ns,,,,,,256,,,
+90224635.0ns,,,,,256,,,,
+90224635.0ns,,,,,,236,,,
+90224635.0ns,,,,,236,,,,
+90224635.0ns,,,,,,216,,,
+90224635.0ns,,,,,216,,,,
+90224635.0ns,,,,,,196,,,
+90224635.0ns,,,,,196,,,,
+90224635.0ns,,,,,,176,,,
+90224635.0ns,,,,,176,,,,
+90224635.0ns,,,,,,156,,,
+90224635.0ns,,,,,156,,,,
+90224635.0ns,,,,,,136,,,
+90224635.0ns,,,,,136,,,,
+90224635.0ns,,,,,,116,,,
+90224635.0ns,,,,,116,,,,
+90224635.0ns,,,,,,96,,,
+90224635.0ns,,,,,96,,,,
+90224635.0ns,,,,,,76,,,
+90224635.0ns,,,,,76,,,,
+90224635.0ns,,,,,,56,,,
+90224635.0ns,,,,,56,,,,
+90224635.0ns,,,,,,36,,,
+90224635.0ns,,,,,36,,,,
+90224635.0ns,,,,,,16,,,
+90224635.0ns,,,,,16,,,,
+90224635.0ns,,,,,,0,,,
+90224635.0ns,,,,,0,,,,
+90224957.0ns,,,,,,536,,,
+90272155.0ns,,,,,,1072,,,
+90272155.0ns,,,,2236403923,,,,,
+90272155.0ns,,,,,536,,,,
+90272155.0ns,,,,2236404459,,,,,
+90272155.0ns,,,,,1072,,,,
+90272155.0ns,,,,,,1052,,,
+90272155.0ns,,,,,1052,,,,
+90272155.0ns,,,,,,1032,,,
+90272155.0ns,,,,,1032,,,,
+90272155.0ns,,,,,,1012,,,
+90272155.0ns,,,,,1012,,,,
+90272155.0ns,,,,,,992,,,
+90272155.0ns,,,,,992,,,,
+90272155.0ns,,,,,,972,,,
+90272155.0ns,,,,,972,,,,
+90272155.0ns,,,,,,952,,,
+90272155.0ns,,,,,952,,,,
+90272155.0ns,,,,,,932,,,
+90272155.0ns,,,,,932,,,,
+90272155.0ns,,,,,,912,,,
