Time,txNext,highestSeq,unackSeq,rxNext,rxAvailable,rxTotal,cwnd,rWnd,ssThresh,state
+10004319.0ns,0,0,0,0,0,131072,1,0,65535,LISTEN
+10004319.0ns,,,,,,,,,,SYN_RCVD
+1451744128.0ns,,1079469918,,,,,,,
+1451744128.0ns,1079469918,,,,,,,,
+1451752687.0ns,,,1079462372,,,,,,
+1451752688.0ns,,1079469963,,,,,,,
+1451752688.0ns,1079469963,,,,,,,,
+1451761567.0ns,,,1079462421,,,,,,
+1451761568.0ns,,1079470012,,,,,,,
+1451761568.0ns,1079470012,,,,,,,,
+1451770847.0ns,,,1079462475,,,,,,
+1451770848.0ns,,1079470066,,,,,,,
+1451770848.0ns,1079470066,,,,,,,,
+1451780526.0ns,,,,,,,7627,,
+1451780526.0ns,,,1079462534,,,,,,
+1451780527.0ns,,1079470161,,,,,,,
+1451780527.0ns,1079470161,,,,,,,,
+1451794365.0ns,,,1079462645,,,,,,
+1451794366.0ns,,1079470272,,,,,,,
+1451794366.0ns,1079470272,,,,,,,,
+1451809244.0ns,,,1079462769,,,,,,
+1451809245.0ns,,1079470396,,,,,,,
+1451809245.0ns,1079470396,,,,,,,,
+1451857084.0ns,,,,,,,7663,,
+1451857084.0ns,,,1079463305,,,,,,
+1451857085.0ns,,1079470932,,,,,,,
+1451857085.0ns,1079470932,,,,,,,,
+1451857085.0ns,,1079470968,,,,,,,
+1451857085.0ns,1079470968,,,,,,,,
+1451864763.0ns,,,1079463343,,,,,,
+1451864764.0ns,,1079471006,,,,,,,
+1451864764.0ns,1079471006,,,,,,,,
+1451873003.0ns,,,1079463384,,,,,,
+1451873004.0ns,,1079471047,,,,,,,
+1451873004.0ns,1079471047,,,,,,,,
+1451881483.0ns,,,1079463428,,,,,,
+1451881484.0ns,,1079471091,,,,,,,
+1451881484.0ns,1079471091,,,,,,,,
+1451890282.0ns,,,1079463476,,,,,,
+1451890283.0ns,,1079471139,,,,,,,
+1451890283.0ns,1079471139,,,,,,,,
+1451902761.0ns,,,1079463570,,,,,,
+1451902762.0ns,,1079471233,,,,,,,
+1451902762.0ns,1079471233,,,,,,,,
+1451912361.0ns,,,,,,,7699,,
+1451912361.0ns,,,1079463628,,,,,,
+1451912362.0ns,,1079471327,,,,,,,
+1451912362.0ns,1079471327,,,,,,,,
+1451926361.0ns,,,1079463741,,,,,,
+1451926362.0ns,,1079471440,,,,,,,
+1451926362.0ns,1079471440,,,,,,,,
+1451940281.0ns,,,1079463853,,,,,,
+1451940282.0ns,,1079471552,,,,,,,
+1451940282.0ns,1079471552,,,,,,,,
+1451952680.0ns,,,1079463946,,,,,,
+1451952681.0ns,,1079471645,,,,,,,
+1451952681.0ns,1079471645,,,,,,,,
+1452000520.0ns,,,,,,,7734,,
+1452000520.0ns,,,1079464482,,,,,,
+1452000521.0ns,,1079472181,,,,,,,
+1452000521.0ns,1079472181,,,,,,,,
+1452000521.0ns,,1079472216,,,,,,,
+1452000521.0ns,1079472216,,,,,,,,
+1452008199.0ns,,,1079464520,,,,,,
+1452008200.0ns,,1079472254,,,,,,,
+1452008200.0ns,1079472254,,,,,,,,
+1452016439.0ns,,,1079464561,,,,,,
+1452016440.0ns,,1079472295,,,,,,,
+1452016440.0ns,1079472295,,,,,,,,
+1452024919.0ns,,,1079464605,,,,,,
+1452024920.0ns,,1079472339,,,,,,,
+1452024920.0ns,1079472339,,,,,,,,
+1452033718.0ns,,,1079464653,,,,,,
+1452033719.0ns,,1079472387,,,,,,,
+1452033719.0ns,1079472387,,,,,,,,
+1452042837.0ns,,,,,,,7769,,
+1452042837.0ns,,,1079464705,,,,,,
+1452042838.0ns,,1079472474,,,,,,,
+1452042838.0ns,1079472474,,,,,,,,
+1452055636.0ns,,,1079464803,,,,,,
+1452055637.0ns,,1079472572,,,,,,,
+1452055637.0ns,1079472572,,,,,,,,
+1452065715.0ns,,,1079464867,,,,,,
+1452065716.0ns,,1079472636,,,,,,,
+1452065716.0ns,1079472636,,,,,,,,
+1452076514.0ns,,,1079464940,,,,,,
+1452076515.0ns,,1079472709,,,,,,,
+1452076515.0ns,1079472709,,,,,,,,
+1452107074.0ns,,,,,,,7804,,
+1452107074.0ns,,,1079465260,,,,,,
+1452107075.0ns,,1079473064,,,,,,,
+1452107075.0ns,1079473064,,,,,,,,
+1452127953.0ns,,,1079465459,,,,,,
+1452127954.0ns,,1079473263,,,,,,,
+1452127954.0ns,1079473263,,,,,,,,
+1452151073.0ns,,,1079465686,,,,,,
+1452151074.0ns,,1079473490,,,,,,,
+1452151074.0ns,1079473490,,,,,,,,
+1452198913.0ns,,,,,,,7839,,
+1452198913.0ns,,,1079466222,,,,,,
+1452198914.0ns,,1079474026,,,,,,,
+1452198914.0ns,1079474026,,,,,,,,
+1452198914.0ns,,1079474061,,,,,,,
+1452198914.0ns,1079474061,,,,,,,,
+1452206513.0ns,,,1079466259,,,,,,
+1452206514.0ns,,1079474098,,,,,,,
+1452206514.0ns,1079474098,,,,,,,,
+1452214673.0ns,,,,,,,7874,,
+1452214673.0ns,,,1079466299,,,,,,
+1452214674.0ns,,1079474173,,,,,,,
+1452214674.0ns,1079474173,,,,,,,,
+1452223072.0ns,,,1079466342,,,,,,
+1452223073.0ns,,1079474216,,,,,,,
+1452223073.0ns,1079474216,,,,,,,,
+1452229471.0ns,,,1079466360,,,,,,
+1452229472.0ns,,1079474234,,,,,,,
+1452229472.0ns,1079474234,,,,,,,,
+1452235951.0ns,,,1079466379,,,,,,
+1452235952.0ns,,1079474253,,,,,,,
+1452235952.0ns,1079474253,,,,,,,,
+1452279871.0ns,,,,,,,7909,,
+1452279871.0ns,,,1079466866,,,,,,
+1452279872.0ns,,1079474775,,,,,,,
+1452279872.0ns,1079474775,,,,,,,,
+1452320830.0ns,,,1079467316,,,,,,
+1452320831.0ns,,1079475225,,,,,,,
+1452320831.0ns,1079475225,,,,,,,,
+1471576374.0ns,,,,,,,7943,,
+1471576374.0ns,,,1079467852,,,,,,
+1471576375.0ns,,1079475761,,,,,,,
+1471576375.0ns,1079475761,,,,,,,,
+1471576375.0ns,,1079475795,,,,,,,
+1471576375.0ns,1079475795,,,,,,,,
+1471583014.0ns,,,,,,,7977,,
+1471583014.0ns,,,1079467889,,,,,,
+1471583015.0ns,,1079475866,,,,,,,
+1471583015.0ns,1079475866,,,,,,,,
+1471591093.0ns,,,1079467928,,,,,,
+1471591094.0ns,,1079475905,,,,,,,
+1471591094.0ns,1079475905,,,,,,,,
+1471599412.0ns,,,1079467970,,,,,,
+1471599413.0ns,,1079475947,,,,,,,
+1471599413.0ns,1079475947,,,,,,,,
+1471608052.0ns,,,1079468016,,,,,,
+1471608053.0ns,,1079475993,,,,,,,
+1471608053.0ns,1079475993,,,,,,,,
+1471620692.0ns,,,1079468112,,,,,,
+1471620693.0ns,,1079476089,,,,,,,
+1471620693.0ns,1079476089,,,,,,,,
+1471630051.0ns,,,1079468167,,,,,,
+1471630052.0ns,,1079476144,,,,,,,
+1471630052.0ns,1079476144,,,,,,,,
+1471643890.0ns,,,1079468278,,,,,,
+1471643891.0ns,,1079476255,,,,,,,
+1471643891.0ns,1079476255,,,,,,,,
+1471654369.0ns,,,1079468347,,,,,,
+1471654370.0ns,,1079476324,,,,,,,
+1471654370.0ns,1079476324,,,,,,,,
+1471671489.0ns,,,,,,,8011,,
+1471671489.0ns,,,1079468499,,,,,,
+1471671490.0ns,,1079476510,,,,,,,
+1471671490.0ns,1079476510,,,,,,,,
+1471691329.0ns,,,1079468685,,,,,,
